coin,date_added,max_supply,circulating_supply,total_supply,market_cap,Volume24h,price
BASX,2021-02-18T00:00:00.000Z,2000000.0,0.0,0.0,0.0,4238.38620786,0.6305899104782
SUSHIBEAR,2020-09-17T00:00:00.000Z,,0.0,0.0,0.0,4237.1779,8.8e-06
CURE,2021-01-25T00:00:00.000Z,800000.0,0.0,0.0,0.0,4203.80695821,4.00518014023492
BERRY,2021-04-01T00:00:00.000Z,,0.0,0.0,0.0,4171.12884055,0.00697182812878
YFIEC,2020-10-01T00:00:00.000Z,25000.0,0.0,25000.0,0.0,4116.22652703,4.3823633780174
DNA,2017-11-20T00:00:00.000Z,70938084.0,0.0,70938084.47283192,0.0,4021.28943795,0.0588922653726
CCAKE,2021-04-08T00:00:00.000Z,155000.0,0.0,0.0,0.0,3980.67321492,0.58972547042802
CSM,2018-07-27T00:00:00.000Z,,0.0,240000000.0,0.0,3958.38896712,0.00159976751864
SUP8EME,2020-11-17T00:00:00.000Z,18000000.0,0.0,0.0,0.0,3933.41181666,4.84286640402217
ORC,2020-09-18T00:00:00.000Z,,0.0,1000000000.0,0.0,3907.2729475,0.00012999736056
CVT,2021-02-02T00:00:00.000Z,,0.0,0.0,0.0,3896.37330705,220.15990132051394
ENOL,2020-11-25T00:00:00.000Z,10000.0,0.0,0.0,0.0,3858.4419602,100.8015421986781
ECA,2017-06-09T00:00:00.000Z,,0.0,29612229628.216846,0.0,3860.46520345,4.19471546e-05
SERGS,2020-11-05T00:00:00.000Z,,0.0,1100000.0,0.0,3837.28245043,0.40213616279201
UNII,2020-09-28T00:00:00.000Z,,0.0,314589903.0,0.0,3852.96367756,0.00109897819437
MAYP,2019-07-03T00:00:00.000Z,,0.0,250000000.0,0.0,3852.93034618,287532.11538621853
SPORTS,2020-08-12T00:00:00.000Z,0.0,0.0,0.0,0.0,3842.54705676,0.00012018761527
PARTY,2020-08-12T00:00:00.000Z,888000000.0,0.0,0.0,0.0,3704.38186103,0.002528155104
FED,2019-09-12T00:00:00.000Z,100000000000.0,0.0,44120118873.31,0.0,3711.03438266,7.699847222e-05
GTX,2020-04-09T00:00:00.000Z,100000000.0,0.0,100000000.0,0.0,3691.05944023,0.0004499710718
PUML,2020-11-02T00:00:00.000Z,500000000.0,0.0,0.0,0.0,3682.36806074,0.0210557975738
FRY,2021-03-18T00:00:00.000Z,100000000.0,0.0,64602963.579568,0.0,3669.61155293,0.03129218206965
VIKING,2021-02-23T00:00:00.000Z,,0.0,0.0,0.0,3684.9185956,0.0580757489719
ZCK,2021-03-04T00:00:00.000Z,162000000.0,0.0,0.0,0.0,3659.07910065,0.0051155679129
BBC,2020-05-25T00:00:00.000Z,1004616000.0,0.0,1004616000.0,0.0,3606.73520311,0.13106741731857
SKI,2020-05-26T00:00:00.000Z,190800000.0,0.0,190800000.0,0.0,3597.69588528,0.0379887575838
